,fecha
1908,
1909,0.0
1912,0.0
1913,200.0
1915,-33.333333333333336
1916,150.0
1917,39.99999999999999
1918,-42.85714285714286
1919,125.0
1920,100.0
1921,-33.333333333333336
1922,8.333333333333325
1923,0.0
1924,-46.15384615384615
1925,57.14285714285714
1926,18.181818181818187
1927,53.846153846153854
1928,80.0
1929,8.333333333333325
1930,-33.333333333333336
1931,26.923076923076916
1932,-15.151515151515149
1933,0.0
1934,10.71428571428572
1935,35.48387096774193
1936,19.047619047619047
1937,-28.000000000000004
1938,55.55555555555556
1939,-46.42857142857143
1940,-16.666666666666664
1941,8.000000000000007
1942,40.74074074074075
1943,15.789473684210531
1944,27.27272727272727
1945,33.928571428571416
1946,17.333333333333336
1947,-6.818181818181824
1948,-4.878048780487809
1949,-14.102564102564108
1950,5.970149253731338
1951,5.633802816901401
1952,-13.33333333333333
1953,7.692307692307687
1954,-12.857142857142856
1955,-6.5573770491803245
1956,-7.017543859649122
1957,24.52830188679245
1958,3.0303030303030276
1959,-2.941176470588236
1960,6.060606060606055
1961,-15.714285714285714
1962,32.20338983050848
1963,-17.948717948717952
1964,-7.8125
1965,8.47457627118644
1966,-7.8125
1967,-1.6949152542372836
1968,12.06896551724137
1969,6.153846153846154
1970,5.797101449275366
1971,-20.547945205479458
1972,32.75862068965518
1973,-16.883116883116877
1974,-9.375
1975,-12.06896551724138
1976,11.764705882352944
1977,10.526315789473696
1978,-19.047619047619047
1979,17.647058823529417
1980,-25.0
1981,11.111111111111116
1982,8.000000000000007
1983,-11.111111111111116
1984,0.0
1985,16.666666666666675
1986,-8.92857142857143
1987,5.882352941176472
1988,18.518518518518512
1989,29.6875
1990,-26.506024096385538
1991,13.114754098360649
1992,-4.347826086956519
1993,-15.151515151515149
1994,32.14285714285714
1995,-18.918918918918916
1996,13.33333333333333
1997,-17.647058823529417
1998,5.35714285714286
1999,5.084745762711873
2000,1.6129032258064502
2001,-7.936507936507942
2002,-5.1724137931034475
2003,12.72727272727272
2004,-25.806451612903224
2005,-2.1739130434782594
2006,-15.555555555555555
2007,13.157894736842103
2008,18.60465116279071
2009,-9.80392156862745
2010,-13.043478260869568
2011,-9.999999999999998
2012,-27.77777777777778
2013,-3.8461538461538436
2014,-7.9999999999999964
2015,-21.739130434782606
2016,27.777777777777768
2017,-34.78260869565217
2018,26.66666666666666
2019,-31.57894736842105
2020,-38.46153846153846
2021,-12.5
