,Year,Mortality_Rate,Rate_of_Change
1,1909,100.0,100.0
2,1912,100.0,0.0
3,1913,87.75510204081633,-12.244897959183676
4,1915,60.0,-31.62790697674418
5,1916,99.08256880733946,65.1376146788991
6,1917,98.57142857142858,-0.515873015873014
7,1918,100.0,1.4492753623188248
8,1919,114.99999999999999,14.999999999999991
9,1920,78.125,-32.06521739130434
10,1921,91.42857142857143,17.02857142857144
11,1922,87.25490196078431,-4.564950980392169
12,1923,85.71428571428571,-1.7656500802568198
13,1924,100.0,16.666666666666675
14,1925,53.96825396825397,-46.03174603174603
15,1926,57.14285714285714,5.882352941176472
16,1927,75.36231884057972,31.884057971014524
17,1928,84.32835820895522,11.897244546498253
18,1929,74.71910112359551,-11.395048225116833
19,1930,77.77777777777779,4.093567251461994
20,1931,84.29752066115702,8.382526564344728
21,1932,84.88372093023256,0.6953944368444986
22,1933,86.91983122362869,2.3987052771516026
23,1934,80.0,-7.961165048543684
24,1935,62.88659793814433,-21.39175257731959
25,1936,71.6931216931217,14.003816462832862
26,1937,59.90453460620525,-16.443121471787514
27,1938,83.30206378986867,39.05802680460149
28,1939,74.66666666666667,-10.366366366366364
29,1940,86.05442176870748,15.251457725947514
30,1941,68.22660098522168,-20.716914270137654
31,1942,86.58536585365853,26.908514572510335
32,1943,92.03084832904884,6.289148774394437
33,1944,86.26974483596598,-6.259969996673831
34,1945,91.65554072096128,6.242971849790324
35,1946,80.47301394784718,-12.200600951292738
36,1947,74.57434733257662,-7.329993405110136
37,1948,81.29820051413881,9.016308451988264
38,1949,71.52521525215252,-12.021158156245592
39,1950,80.97560975609757,13.212675376968752
40,1951,89.21985815602837,10.18115013244465
41,1952,81.04325699745547,-9.164552967875817
42,1953,81.34651019147621,0.3741868296708084
43,1954,83.59511343804537,2.7642282886829683
44,1955,72.51787132644957,-13.251064154372438
45,1956,66.1990647962592,-8.713447340098224
46,1957,69.55708047411105,5.072602895806488
47,1958,78.01578354002254,12.160808084893393
48,1959,83.77386196769456,7.3806583314235175
49,1960,80.96153846153847,-3.3570417312748457
50,1961,72.96912114014252,-9.871869375595942
51,1962,82.06018518518519,12.458782431520078
52,1963,82.57798705120659,0.6310025560542831
53,1964,78.76470588235294,-4.617793803194836
54,1965,75.71246278179498,-3.8751406056374393
55,1966,84.81210855949895,12.018689451338215
56,1967,74.31279620853081,-12.379496901203046
57,1968,72.56944444444444,-2.3459644274376523
58,1969,76.05522682445759,4.803374762888923
59,1970,73.33842627960276,-3.5721417952318535
60,1971,73.6581337737407,0.4359344894026673
61,1972,80.55315471045809,9.360841204444803
62,1973,69.86466165413535,-13.268869598889921
63,1974,77.90132036136205,11.503181317920275
64,1975,67.37425011536686,-13.513339950033076
65,1976,74.06513872135102,9.930928499429914
66,1977,79.62121212121212,7.5016039877603635
67,1978,55.83913379737046,-29.86902320406375
68,1979,79.08777969018934,41.63504035930028
69,1980,65.23556231003039,-17.514990854999667
70,1981,77.762982689747,19.203360768441556
71,1982,50.77288941736029,-34.70815076637401
72,1983,67.5885911840968,33.11945008390025
73,1984,66.78752719361857,-1.1852059296461714
74,1985,76.46885149099498,14.49570706414991
75,1986,57.74763666255651,-24.482144642440574
76,1987,82.17522658610272,42.300588102482514
77,1988,66.2240381341505,-19.411188888221265
78,1989,62.096094408541724,-6.233301142474545
79,1990,51.04355716878403,-17.799085989274953
80,1991,73.81258023106547,44.60704607046071
81,1992,70.69571328179902,-4.2226771364844655
82,1993,64.74881923572349,-8.411958476705239
83,1994,59.72222222222222,-7.763225758915415
84,1995,76.93498452012383,28.821369429044562
85,1996,77.57291317465639,0.829178895026228
86,1997,66.94011484823625,-13.706844169278865
87,1998,76.43182970096301,14.179412261610192
88,1999,29.96527777777778,-60.79476587827881
89,2000,61.03286384976526,103.67861864116334
90,2001,65.49019607843137,7.3031674208144715
91,2002,79.94169096209912,22.066653864283083
92,2003,84.70198675496688,5.954709908656608
93,2004,75.48460661345496,-10.882129799595786
94,2005,60.1580660158066,-20.304193510781886
95,2006,81.36826783114994,35.257452940342745
96,2007,60.61433447098976,-25.50617570381044
97,2008,48.73547505126453,-19.59744262375841
98,2009,66.97588126159555,37.4273692646764
99,2010,71.06875425459496,6.110965493702736
100,2011,73.17073170731707,2.9576675077095604
101,2012,84.46043165467626,15.429256594724205
102,2013,36.70076726342711,-56.54679174091679
103,2014,97.10884353741497,164.59622176396692
104,2015,95.35175879396985,-1.8093972489417354
105,2016,57.032115171650055,-40.187663140140394
106,2017,87.34693877551021,53.153952843273245
107,2018,70.5407586763519,-19.24072020698031
108,2019,70.60185185185185,0.08660691584032598
109,2020,50.497866287339974,-28.475153324161084
110,2021,78.41409691629956,55.28200037227771
